%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
0	348.949	266.858	0	0	2578	0.0773172	0.69037	1399927432427
1	345.884	266.445	0	0	2808	-0.123601	0.57717	1399927432608
2	336.319	266.275	0	0	2729.5	0.0943729	0.656783	1399927432782
3	328.149	266.395	0	0	2483.5	0.438288	0.71305	1399927432963
4	317.207	265.22	0	0	2234	-0.175129	0.655394	1399927433138
5	310.494	265.279	0	0	2147.5	-0.0420744	0.680054	1399927433318
6	300.797	265.444	0	0	2077.5	-0.43847	0.676979	1399927433498
7	291.825	265.768	0	0	1911	0.971417	0.707215	1399927433684
8	285.787	266.471	0	0	1993.5	-0.766012	0.712221	1399927433858
9	279.343	266.39	0	0	2079	-0.686777	0.701661	1399927434039
10	274.701	267.08	0	0	1886.5	2.23155	0.72202	1399927434218
11	269.549	267.977	0	0	1988	2.2267	0.654941	1399927434398
12	262.955	268.347	0	0	1911.5	0.533767	0.478558	1399927434578
13	258.675	266.618	0	0	1878.5	0.268854	0.61517	1399927434762
14	249.851	266.954	0	0	1728	0.191815	0.492699	1399927434939
15	245.319	267.938	0	0	1856.5	0.458678	0.483352	1399927435119
16	233.168	264.422	0	0	1726	-0.548642	0.718175	1399927435302
17	222.817	262.872	0	0	1565.5	-0.335087	0.728166	1399927435478
18	214.221	262.445	0	0	1746.5	0.320057	0.712224	1399927435658
19	203.124	259.517	0	0	1654.5	0.150208	0.723319	1399927435838
20	197.157	261.721	0	0	1578	0.239738	0.647827	1399927436023
21	189.8	258.369	0	0	1197.5	0.0967897	0.747591	1399927436198
22	174.321	261.485	0	0	194	2.02921	0.868405	1399927436378
